,E_lepton,E_hadron,lepton,hadron,col,t,Q2,xB,phi,deg/rad,bin,obs,units,value,err_low,err_high,err_u
72,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,15,deg,6,deltad4SigLU,pb GeV^-4,4.72938,8.52148,10.1087,9.31509
73,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,45,deg,6,deltad4SigLU,pb GeV^-4,5.80269,5.34154,6.12561,5.733575
74,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,75,deg,6,deltad4SigLU,pb GeV^-4,7.34308,5.17957,5.15569,5.16763
75,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,105,deg,6,deltad4SigLU,pb GeV^-4,1.12629,3.87003,4.04064,3.955335
76,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,135,deg,6,deltad4SigLU,pb GeV^-4,2.16727,2.17109,2.29818,2.234635
77,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,165,deg,6,deltad4SigLU,pb GeV^-4,4.27088,4.5722,4.405,4.4886
78,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,195,deg,6,deltad4SigLU,pb GeV^-4,-1.10731,2.86995,2.81608,2.843015
79,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,225,deg,6,deltad4SigLU,pb GeV^-4,-3.19843,3.41406,3.41282,3.41344
80,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,255,deg,6,deltad4SigLU,pb GeV^-4,2.04086,5.3326,5.32172,5.32716
81,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,285,deg,6,deltad4SigLU,pb GeV^-4,-1.00975,4.65121,4.70841,4.67981
82,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,315,deg,6,deltad4SigLU,pb GeV^-4,-9.5666,5.92778,6.74973,6.338755
83,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,345,deg,6,deltad4SigLU,pb GeV^-4,-10.0078,5.97672,7.22342,6.60007
84,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,15,deg,7,deltad4SigLU,pb GeV^-4,21.049,26.4895,27.2058,26.84765
85,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,45,deg,7,deltad4SigLU,pb GeV^-4,-6.91731,12.7085,13.1502,12.92935
86,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,75,deg,7,deltad4SigLU,pb GeV^-4,2.71933,16.6176,17.0912,16.8544
87,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,105,deg,7,deltad4SigLU,pb GeV^-4,-8.5781,13.4596,13.6194,13.5395
88,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,135,deg,7,deltad4SigLU,pb GeV^-4,0.52566,8.90107,8.95205,8.92656
89,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,165,deg,7,deltad4SigLU,pb GeV^-4,3.83151,10.8695,11.0147,10.9421
90,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,195,deg,7,deltad4SigLU,pb GeV^-4,6.26229,15.61,15.979,15.7945
91,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,225,deg,7,deltad4SigLU,pb GeV^-4,7.12495,10.6249,10.9448,10.78485
92,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,255,deg,7,deltad4SigLU,pb GeV^-4,-2.5797,14.7413,15.1128,14.92705
93,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,285,deg,7,deltad4SigLU,pb GeV^-4,18.0993,20.1362,21.5307,20.83345
94,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,315,deg,7,deltad4SigLU,pb GeV^-4,6.27345,15.0786,15.6269,15.35275
95,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,345,deg,7,deltad4SigLU,pb GeV^-4,-3.48538,18.7738,18.3577,18.56575
